concept_id,concept_name,domain_id,concept_class_id,vocabulary_id,concept_code,source_vocabulary_id,source_code,source_code_description,source_frequency,source_frequency_validated,mapping_status,equivalence
8532,FEMALE,Gender,Gender,Gender,F,AUMC Gender,Vrouw,Vrouw,7875,7875,APPROVED,EQUAL
8507,MALE,Gender,Gender,Gender,M,AUMC Gender,Man,Man,14735,14735,APPROVED,EQUAL
581476,Home Visit,Visit,Visit,Visit,OMOP4822459,AUMC Origin,Huis,Huis,85,85,APPROVED,EQUAL
581383,Inpatient Cardiac Care Facility,Visit,Visit,CMS Place of Service,OMOP4822038,AUMC Origin,CCU/IC zelfde ziekenhuis,CCU/IC zelfde ziekenhuis,296,296,APPROVED,EQUAL
8870,Emergency Room - Hospital,Visit,Visit,CMS Place of Service,23,AUMC Origin,Eerste Hulp afdeling zelfde ziekenhuis,Eerste Hulp afdeling zelfde ziekenhuis,2661,2661,APPROVED,EQUAL
581379,Inpatient Critical Care Facility,Visit,Visit,CMS Place of Service,OMOP4822042,AUMC Origin,Recovery ander ziekenhuis,Recovery ander ziekenhuis,6,6,APPROVED,EQUAL
8870,Emergency Room - Hospital,Visit,Visit,CMS Place of Service,23,AUMC Origin,Eerste Hulp afdeling ander ziekenhuis,Eerste Hulp afdeling ander ziekenhuis,132,132,APPROVED,EQUAL
8717,Inpatient Hospital,Visit,Visit,CMS Place of Service,21,AUMC Origin,Operatiekamer vanaf verpleegafdeling zelfde ziekenhuis,Operatiekamer vanaf verpleegafdeling zelfde ziekenhuis,5,5,APPROVED,EQUAL
581379,Inpatient Critical Care Facility,Visit,Visit,CMS Place of Service,OMOP4822042,AUMC Origin,Special/Medium care ander ziekenhuis,Special/Medium care ander ziekenhuis,19,19,APPROVED,EQUAL
8870,Emergency Room - Hospital,Visit,Visit,CMS Place of Service,23,AUMC Origin,Operatiekamer vanaf Eerste Hulp afdeling zelfde ziekenhuis,Operatiekamer vanaf Eerste Hulp afdeling zelfde ziekenhuis,2,2,APPROVED,EQUAL
8717,Inpatient Hospital,Visit,Visit,CMS Place of Service,21,AUMC Origin,"Andere locatie zelfde ziekenhuis, transport per ambulance","Andere locatie zelfde ziekenhuis, transport per ambulance",5,5,APPROVED,EQUAL
0,No matching concept,Metadata,Undefined,None,No matching concept,AUMC Origin,Anders,Anders,53,53,APPROVED,EQUAL
581379,Inpatient Critical Care Facility,Visit,Visit,CMS Place of Service,OMOP4822042,AUMC Origin,Recovery zelfde ziekenhuis (alleen bij niet geplande IC-opname),Recovery zelfde ziekenhuis (alleen bij niet geplande IC-opname),217,217,APPROVED,EQUAL
8717,Inpatient Hospital,Visit,Visit,CMS Place of Service,21,AUMC Origin,Verpleegafdeling ander ziekenhuis,Verpleegafdeling ander ziekenhuis,91,91,APPROVED,EQUAL
581379,Inpatient Critical Care Facility,Visit,Visit,CMS Place of Service,OMOP4822042,AUMC Origin,Special/Medium care zelfde ziekenhuis,Special/Medium care zelfde ziekenhuis,193,193,APPROVED,EQUAL
581383,Inpatient Cardiac Care Facility,Visit,Visit,CMS Place of Service,OMOP4822038,AUMC Origin,CCU/IC ander ziekenhuis,CCU/IC ander ziekenhuis,239,239,APPROVED,EQUAL
8717,Inpatient Hospital,Visit,Visit,CMS Place of Service,21,AUMC Origin,Verpleegafdeling zelfde ziekenhuis,Verpleegafdeling zelfde ziekenhuis,5027,5027,APPROVED,EQUAL
0,No matching concept,Metadata,Undefined,None,No matching concept,AUMC Destination,10472-1,.Vul in,15,15,APPROVED,UNMATCHED
8717,Inpatient Hospital,Visit,Visit,CMS Place of Service,21,AUMC Destination,10472-2,Afdeling ander ziekenhuis,562,562,APPROVED,EQUIVALENT
0,No matching concept,Metadata,Undefined,None,No matching concept,AUMC Destination,10472-3,Anders,284,284,APPROVED,UNMATCHED
581379,Inpatient Critical Care Facility,Visit,Visit,CMS Place of Service,OMOP4822042,AUMC Destination,10472-4,CCU/ICU ander ziekenhuis,272,272,APPROVED,INEXACT
0,No matching concept,Metadata,Undefined,None,No matching concept,AUMC Destination,10472-5,Huis,354,354,APPROVED,UNMATCHED
4162299,Autopsy examination,Procedure,Procedure,SNOMED,29240004,AUMC Destination,10472-6,Mortuarium met obductie,578,578,APPROVED,EQUAL
0,No matching concept,Metadata,Undefined,None,No matching concept,AUMC Destination,10472-7,Mortuarium zonder obductie,1891,1891,APPROVED,UNMATCHED
32037,Intensive Care,Visit,Visit,Visit,OMOP4822460,AUMC Destination,10472-8,VU afdeling ICVC,130,130,APPROVED,EQUAL
581383,Inpatient Cardiac Care Facility,Visit,Visit,CMS Place of Service,OMOP4822038,AUMC Destination,10472-9,VU afdeling ICAR,552,552,APPROVED,EQUAL
32037,Intensive Care,Visit,Visit,Visit,OMOP4822460,AUMC Destination,10472-10,VU afdeling ICVI,144,144,APPROVED,EQUAL
581384,Inpatient Nursery,Visit,Visit,CMS Place of Service,OMOP4822037,AUMC Destination,10472-12,VU afdeling INEO,1,1,APPROVED,INEXACT
32037,Intensive Care,Visit,Visit,Visit,OMOP4822460,AUMC Destination,10472-13,VU afdeling ISNY,5,5,APPROVED,INEXACT
581383,Inpatient Cardiac Care Facility,Visit,Visit,CMS Place of Service,OMOP4822038,AUMC Destination,10472-14,VU afdeling SCAR,360,360,APPROVED,INEXACT
581383,Inpatient Cardiac Care Facility,Visit,Visit,CMS Place of Service,OMOP4822038,AUMC Destination,10472-15,VU afdeling SCCH,6272,6272,APPROVED,EQUIVALENT
581379,Inpatient Critical Care Facility,Visit,Visit,CMS Place of Service,OMOP4822042,AUMC Destination,10472-16,VU afdeling MICV,1526,1526,APPROVED,EQUIVALENT
581379,Inpatient Critical Care Facility,Visit,Visit,CMS Place of Service,OMOP4822042,AUMC Destination,10472-17,VU afdeling SNCH,1,1,APPROVED,EQUIVALENT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-18,VU afdeling VCAR,3,3,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-19,VU afdeling VCCH,1362,1362,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-20,VU afdeling VEKV,25,25,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-21,VU afdeling VGAS,1,1,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-22,VU afdeling VGYN,168,168,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-23,VU afdeling VHEM,140,140,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-25,VU afdeling VHON,1498,1498,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-26,VU afdeling VINW,41,41,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-27,VU afdeling VKCH,1,1,APPROVED,INEXACT
