itemid,item,item_en,vocabulary_id,vocabulary_concept_code,vocabulary_concept_name,abbreviation,categoryid,category,category_en,ordercategoryid,ordercategory,islabresult,valueid,value,unitid,unit,ucum_code,low_normal_value,high_normal_value,expected_min_value,expected_max_value,table,count,count_validated
6637,Opname gewicht,,,,,GewichtOpname,466,Patientenbestandparameters,,,,0.0,,,12.0,kg,kg,,,,,numericitems,2609,2609.0
6638,Huidig gewicht,,,,,GewichtX,328,OLGV-OUD,,,,0.0,,,12.0,kg,kg,,,,,numericitems,2751,2751.0
6640,Hartfrequentie,heart rate,LOINC,76282-3,Heart rate.beat-to-beat by EKG,HF,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,,,15.0,/min,/min,80,120,1.0,250.0,numericitems,37732398,2218626.0
6641,ABP systolisch,invasive systolic arterial pressure,LOINC,76215-3,Invasive Systolic blood pressure,ABPs,323,HD-Bloeddrukken,hemodynamics-blood pressures,,,0.0,,,173.0,mmHg,mm[Hg],80,160,40.0,250.0,numericitems,33343613,2109758.0
6642,ABP gemiddeld,invasive mean arterial pressure,LOINC,76214-6,Invasive Mean blood pressure,ABPm,323,HD-Bloeddrukken,hemodynamics-blood pressures,,,0.0,,,173.0,mmHg,mm[Hg],50,120,30.0,250.0,numericitems,33352770,2109165.0
6643,ABP diastolisch,invasive diastolic arterial pressure,LOINC,76213-8,Invasive Diastolic blood pressure,ABPd,323,HD-Bloeddrukken,hemodynamics-blood pressures,,,0.0,,,173.0,mmHg,mm[Hg],40,100,20.0,150.0,numericitems,33343274,2109346.0
6644,PAP systolisch,pulmonary artery systolic pressure,LOINC,8440-0,Pulmonary artery Systolic blood pressure,PAPs,325,HD-Profiel,hemodynamic profile,,,0.0,,,173.0,mmHg,mm[Hg],,,0.0,100.0,numericitems,1818402,194505.0
6645,PAP gemiddeld,pulmonary artery mean pressure,LOINC,8414-5,Pulmonary artery Mean blood pressure,PAPm,325,HD-Profiel,hemodynamic profile,,,0.0,,,173.0,mmHg,mm[Hg],15,25,0.0,80.0,numericitems,1819309,194406.0
6646,PAP diastolisch,pulmonary artery diastolic pressure,LOINC,8385-7,Pulmonary artery Diastolic blood pressure,PAPd,325,HD-Profiel,hemodynamic profile,,,0.0,,,173.0,mmHg,mm[Hg],,,0.0,100.0,numericitems,1811489,194246.0
6655,CVD,central venous pressure (CVP),LOINC,60985-9,Central venous pressure (CVP),CVD,323,HD-Bloeddrukken,hemodynamics-blood pressures,,,0.0,,,173.0,mmHg,mm[Hg],-1,40,-10.0,40.0,numericitems,483942,483940.0
6656,Cardiac Output,cardiac output,LOINC,8741-1,Left ventricular Cardiac output,CO,325,HD-Profiel,hemodynamic profile,,,0.0,,,26.0,l/min,L/min,,,0.0,17.0,numericitems,52738,50371.0
6657,PCWP wedge,pulmonary capillary wedge pressure,LOINC,75994-4,Pulmonary artery wedge pressure,PCWP,325,HD-Profiel,hemodynamic profile,,,0.0,,,173.0,mmHg,mm[Hg],,,0.0,40.0,numericitems,53751,52586.0
6658,IABP Frequentie,intra-aortic balloon pump frequency,,,,IABP Frequentie,326,HD-IABP,hemodynamics intra-aortic balloon pump,,,0.0,1.0,01:01,,,,,,,,listitems,65500,17325.0
6658,IABP Frequentie,intra-aortic balloon pump frequency,,,,IABP Frequentie,326,HD-IABP,hemodynamics intra-aortic balloon pump,,,0.0,2.0,01:02,,,,,,,,listitems,16312,3268.0
6658,IABP Frequentie,intra-aortic balloon pump frequency,,,,IABP Frequentie,326,HD-IABP,hemodynamics intra-aortic balloon pump,,,0.0,3.0,01:03,,,,,,,,listitems,3638,651.0
6658,IABP Frequentie,intra-aortic balloon pump frequency,,,,IABP Frequentie,326,HD-IABP,hemodynamics intra-aortic balloon pump,,,0.0,4.0,Uit,,,,,,,,listitems,10,10.0
6664,ST segment analyse afleiding I,,,,,STI,328,OLGV-OUD,,,,0.0,,,51.0,mm,mm,,,,,numericitems,28316202,0.0
6665,ST segment analyse afleiding II,,,,,STII,328,OLGV-OUD,,,,0.0,,,51.0,mm,mm,,,,,numericitems,29972870,0.0
6666,ST segment analyse afleiding,,,,,STIII,328,OLGV-OUD,,,,0.0,,,51.0,mm,mm,,,,,numericitems,29124627,0.0
6667,ST segment analyse afleiding AVR,,,,,STavr,328,OLGV-OUD,,,,0.0,,,51.0,mm,mm,,,,,numericitems,24277363,0.0
6668,ST segment analyse afleiding AVF,,,,,STavf,328,OLGV-OUD,,,,0.0,,,51.0,mm,mm,,,,,numericitems,24277363,0.0
6669,ST segment analyse afleiding AVL,,,,,STavl,328,OLGV-OUD,,,,0.0,,,51.0,mm,mm,,,,,numericitems,24277328,0.0
6670,ST segment analyse afleiding V1,,,,,STv1,328,OLGV-OUD,,,,0.0,,,51.0,mm,mm,,,,,numericitems,21016022,0.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,1.0,NSR,,,,,,,,listitems,1203779,1203779.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,2.0,AVblock 1,,,,,,,,listitems,20170,20170.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,3.0,AVblock 2,,,,,,,,listitems,1305,1305.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,4.0,AVblock 3,,,,,,,,listitems,1198,1198.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,5.0,AVblock 2:1,,,,,,,,listitems,131,131.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,6.0,AVblock 3:1,,,,,,,,listitems,49,49.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,7.0,AVBlock 4:1,,,,,,,,listitems,19,19.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,8.0,Compl. blk,,,,,,,,listitems,182,182.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,9.0,PAT-block,,,,,,,,listitems,76,76.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,10.0,ST-depr,,,,,,,,listitems,115,115.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,11.0,Asystolie,,,,,,,,listitems,192,192.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,12.0,Atr Tachy,,,,,,,,listitems,1556,1556.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,13.0,Atr fib,,,,,,,,listitems,207629,207629.0
