concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,concept_code,table_name,record_count,patient_count,patient_coverage_pct,units
45775368,"2,3-dimercapto-1-propanesulfonic acid",Drug,RxNorm,Ingredient,1546352,drug_exposure,1,1,0.0015291221309846018,
45775370,2-mercaptoethanesulfonic acid,Drug,RxNorm,Ingredient,1546354,drug_exposure,48,12,0.018349465571815222,
36878783,Agomelatine,Drug,RxNorm Extension,Ingredient,OMOP997499,drug_exposure,11,2,0.0030582442619692036,
2000000577,Albumine 20%,Drug,AmsterdamUMCdb,Observable Entity,2000000577,drug_exposure,7733,2053,3.1392877349113872,
2000000582,Algedrate,Drug,AmsterdamUMCdb,Observable Entity,2000000582,drug_exposure,20,6,0.0091747327859076112,
36086759,Antithymocyte immunoglobulin (equine),Drug,RxNorm Extension,Ingredient,OMOP4997510,drug_exposure,136,38,0.058106640977414865,
36856245,BRENTUXIMAB,Drug,RxNorm Extension,Ingredient,OMOP5173861,drug_exposure,2,1,0.0015291221309846018,
36030181,Bupivacaine / Fentanyl,Drug,RxNorm,Multiple Ingredients,404781,drug_exposure,624,165,0.25230515161245931,
36029420,Bupivacaine / Sufentanil,Drug,RxNorm,Multiple Ingredients,1192824,drug_exposure,4394,399,0.610119730262856,
36030052,Calcium Carbonate / Vitamin D,Drug,RxNorm,Multiple Ingredients,215830,drug_exposure,4,1,0.0015291221309846018,
40798706,Carbasalate Calcium,Drug,RxNorm Extension,Ingredient,OMOP2721042,drug_exposure,35037,6696,10.239001789072892,
902730,Cytarabine liposomal,Drug,RxNorm Extension,Ingredient,OMOP5042949,drug_exposure,1,1,0.0015291221309846018,
36028200,Dextran / hypromellose,Drug,RxNorm,Multiple Ingredients,1008097,drug_exposure,1943,82,0.12538801474073735,
902725,Doxorubicin pegylated liposomal,Drug,RxNorm Extension,Ingredient,OMOP5042945,drug_exposure,4,1,0.0015291221309846018,
1389112,Echinacea preparation,Drug,RxNorm,Ingredient,228041,drug_exposure,6,3,0.0045873663929538056,
2000000573,Enema fluid,Drug,AmsterdamUMCdb,Observable Entity,2000000573,drug_exposure,2388,641,0.98016728596112968,
36855567,FLUMAZENIL C-11,Drug,RxNorm Extension,Ingredient,OMOP5173184,drug_exposure,1,1,0.0015291221309846018,
36879148,Factor XI,Drug,RxNorm Extension,Ingredient,OMOP992157,drug_exposure,3,1,0.0015291221309846018,
36030368,Fenoterol / Ipratropium,Drug,RxNorm,Multiple Ingredients,687342,drug_exposure,138,29,0.044344541798553454,
40798855,Glycerophosphoric Acid,Drug,RxNorm Extension,Ingredient,OMOP2721197,drug_exposure,9,2,0.0030582442619692036,
36029755,Glycopyrrolate / Indacterol,Drug,RxNorm,Multiple Ingredients,1720947,drug_exposure,18,4,0.0061164885239384072,
36858293,HYDROMETHYLTHIONINE,Drug,RxNorm Extension,Ingredient,OMOP5175910,drug_exposure,5,4,0.0061164885239384072,
35884360,Heparin Sodium,Drug,RxNorm Extension,Ingredient,OMOP5031264,drug_exposure,3185,1673,2.5582213251372385,
40798873,Herbal extract,Drug,RxNorm Extension,Ingredient,OMOP2721210,drug_exposure,5,1,0.0015291221309846018,
36854954,IOXITALAMIC ACID,Drug,RxNorm Extension,Ingredient,OMOP5172571,drug_exposure,671,493,0.75385721057540866,
36879073,Iron isomaltoside 1000,Drug,RxNorm Extension,Ingredient,OMOP988396,drug_exposure,17,15,0.022936831964769026,
